Namespace(batch_size=1, dataset='coco', disable_hybridization=False, epochs=26, gpus='', log_interval=100, lr=0.00125, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=-1, mixup=False, momentum=0.9, network='resnet101_v1d', no_mixup_epochs=20, norm_layer=None, num_workers=1, resume='', save_interval=1, save_prefix='faster_rcnn_resnet101_v1d_coco', seed=233, start_epoch=0, static_alloc=False, use_fpn=False, val_interval=1, verbose=False, wd=0.0001)
Start training from [Epoch 0]
Namespace(batch_size=1, dataset='coco', disable_hybridization=False, epochs=26, gpus='', log_interval=100, lr=0.00125, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=-1, mixup=False, momentum=0.9, network='resnet101_v1d', no_mixup_epochs=20, norm_layer=None, num_workers=4, resume='', save_interval=1, save_prefix='faster_rcnn_resnet101_v1d_coco', seed=233, start_epoch=0, static_alloc=False, use_fpn=False, val_interval=1, verbose=False, wd=0.0001)
Start training from [Epoch 0]
Namespace(batch_size=1, dataset='coco', disable_hybridization=False, epochs=26, gpus='0', log_interval=100, lr=0.00125, lr_decay=0.1, lr_decay_epoch='17,23', lr_warmup=-1, mixup=False, momentum=0.9, network='resnet101_v1d', no_mixup_epochs=20, norm_layer=None, num_workers=4, resume='', save_interval=1, save_prefix='faster_rcnn_resnet101_v1d_coco', seed=233, start_epoch=0, static_alloc=False, use_fpn=False, val_interval=1, verbose=False, wd=0.0001)
Start training from [Epoch 0]
[Epoch 0][Batch 1799], Speed: 0.689 samples/sec, RPN_Conf=0.248,RPN_SmoothL1=0.160,RCNN_CrossEntropy=0.954,RCNN_SmoothL1=0.391,RPNAcc=0.901,RPNL1Loss=0.621,RCNNAcc=0.813,RCNNL1Loss=2.086
[Epoch 0][Batch 1899], Speed: 0.680 samples/sec, RPN_Conf=0.246,RPN_SmoothL1=0.161,RCNN_CrossEntropy=0.948,RCNN_SmoothL1=0.393,RPNAcc=0.902,RPNL1Loss=0.620,RCNNAcc=0.812,RCNNL1Loss=2.090
[Epoch 0][Batch 1999], Speed: 0.689 samples/sec, RPN_Conf=0.244,RPN_SmoothL1=0.160,RCNN_CrossEntropy=0.945,RCNN_SmoothL1=0.395,RPNAcc=0.903,RPNL1Loss=0.617,RCNNAcc=0.811,RCNNL1Loss=2.086
[Epoch 0][Batch 2099], Speed: 0.701 samples/sec, RPN_Conf=0.241,RPN_SmoothL1=0.159,RCNN_CrossEntropy=0.941,RCNN_SmoothL1=0.398,RPNAcc=0.903,RPNL1Loss=0.614,RCNNAcc=0.811,RCNNL1Loss=2.090
[Epoch 0][Batch 2199], Speed: 0.687 samples/sec, RPN_Conf=0.239,RPN_SmoothL1=0.159,RCNN_CrossEntropy=0.939,RCNN_SmoothL1=0.398,RPNAcc=0.904,RPNL1Loss=0.610,RCNNAcc=0.810,RCNNL1Loss=2.089
[Epoch 0][Batch 2299], Speed: 0.687 samples/sec, RPN_Conf=0.237,RPN_SmoothL1=0.157,RCNN_CrossEntropy=0.936,RCNN_SmoothL1=0.399,RPNAcc=0.905,RPNL1Loss=0.607,RCNNAcc=0.809,RCNNL1Loss=2.087
[Epoch 0][Batch 2399], Speed: 0.694 samples/sec, RPN_Conf=0.234,RPN_SmoothL1=0.156,RCNN_CrossEntropy=0.933,RCNN_SmoothL1=0.402,RPNAcc=0.906,RPNL1Loss=0.604,RCNNAcc=0.809,RCNNL1Loss=2.088
[Epoch 0][Batch 2499], Speed: 0.696 samples/sec, RPN_Conf=0.233,RPN_SmoothL1=0.155,RCNN_CrossEntropy=0.928,RCNN_SmoothL1=0.402,RPNAcc=0.907,RPNL1Loss=0.603,RCNNAcc=0.809,RCNNL1Loss=2.086
[Epoch 0][Batch 2599], Speed: 0.699 samples/sec, RPN_Conf=0.232,RPN_SmoothL1=0.154,RCNN_CrossEntropy=0.924,RCNN_SmoothL1=0.403,RPNAcc=0.907,RPNL1Loss=0.600,RCNNAcc=0.809,RCNNL1Loss=2.086
[Epoch 0][Batch 2699], Speed: 0.691 samples/sec, RPN_Conf=0.230,RPN_SmoothL1=0.154,RCNN_CrossEntropy=0.922,RCNN_SmoothL1=0.405,RPNAcc=0.907,RPNL1Loss=0.597,RCNNAcc=0.809,RCNNL1Loss=2.086
